Index,Red Water STD,Red Non-Water STD,Green Water STD,Green Non-Water STD,Blue Water STD,Blue Non-Water STD
1,23.82231307,44.24352913,26.48065321,47.61480403,42.14212822,60.1029823
2,22.76504627,24.84748134,23.32731444,21.29537332,39.30519259,20.61268051
3,23.65080659,21.41581124,29.24658471,23.81512007,43.40455715,26.60177585
4,33.84170406,28.45382585,35.71220598,30.26363547,46.30362934,28.9865865
5,23.25020973,24.41854056,26.41987603,22.30734813,46.32483416,24.23568175
6,14.35185734,17.91809484,21.53991553,21.13787397,29.18117274,7.40831333
7,21.23952666,16.06121089,26.23756851,14.40738409,37.89006179,12.89233257
8,21.98279332,24.35691958,23.74338588,21.45162893,41.28552582,19.10463847
9,24.7782294,13.21591568,28.15981018,20.28113437,41.32009805,21.93462428
10,10.81839854,39.46675431,13.33156446,41.91703989,17.68303317,44.86855342
11,26.41946347,6.868816369,28.74022321,9.731473604,43.41576269,14.73151332
12,21.17680153,35.66951148,22.18887365,38.80667686,40.75033629,36.71135739
13,25.27761624,30.60357676,32.63393372,35.0729767,44.23386528,37.77389187
14,24.28113902,19.18556854,29.20376904,18.22165011,46.25707346,20.0692657
15,--,59.78203123,--,52.91258224,--,34.40990326
16,24.95203739,22.54522368,28.16946746,25.74979857,37.95780142,28.01098793
17,21.22777915,6.204244475,26.08560904,5.31735726,36.50711953,4.823065343
18,51.75240919,11.65620731,52.08497848,11.94532319,57.14199307,12.80464266
19,10.25181022,32.95306245,16.09552427,38.53781407,17.82980865,49.10541429
20,9.505473433,33.20629365,14.10110733,38.24426573,14.36862581,48.64145855
21,12.42386692,15.08944906,18.64426848,23.59777529,18.33898159,27.4223056
22,17.19407221,28.09369329,18.80494177,32.32001699,33.68960158,37.09191101
23,25.0523086,23.66609294,26.67847009,26.13777854,31.69352769,28.50786687
24,--,36.29375032,--,37.98404343,--,37.53919137
27,22.09387499,15.1947554,27.34933035,12.20621049,33.84613742,11.94662832
29,30.59617761,24.60048453,30.75992355,25.94507719,34.28602086,27.52510946
34,20.51199384,11.82241366,26.45975247,12.62000645,33.81651626,13.24386907
37,16.07214993,21.10262807,21.0526513,25.71056615,37.3689207,33.47418907
38,26.48876672,11.61471511,29.21300945,8.485489623,39.89878316,6.837640653
39,27.76463534,12.24982779,33.25609408,15.98592058,43.09304617,18.61820758
40,26.80956153,7.637586027,30.06057795,4.569768107,38.98114644,2.731250009
41,11.96635342,28.05241708,16.07676169,19.21330159,19.48048101,11.27464502
42,9.088163664,41.19290396,9.541061938,38.40665418,17.66453138,30.41437546
43,10.89732183,28.09369505,11.88960707,26.95331055,20.4794145,29.56819717
44,25.01142669,7.648741577,28.15881869,7.201699968,37.65540919,7.161739418
46,8.726755182,34.25142922,12.28713321,40.15906786,12.72319303,51.87115158
51,12.45286321,16.56826671,22.14184287,12.31937691,21.54049253,8.686830523
54,24.99139202,7.341320565,25.79375743,5.595018487,44.35193941,5.872128767
55,7.301917919,38.16277175,7.9432623,38.37556753,14.23142492,40.85826223
57,17.59501403,10.98032663,21.49612751,6.641989409,28.05533169,3.192287521
59,--,73.92183295,--,62.98346956,--,36.15682325
64,18.8332627,14.1138298,22.56533516,11.16074986,38.49194903,12.19744956
65,--,52.25786841,--,41.14968365,--,24.06053208
68,7.679224741,21.75462845,11.92851575,10.86427551,12.16865379,1.998023101
69,32.02311849,42.09835263,31.88033283,45.2592318,35.21930217,46.09735725
70,14.99796159,24.48376459,22.42568844,26.11328462,27.43145622,28.29294123
71,15.97751474,10.93191426,18.68238581,14.15711632,41.39847544,17.4973597
72,13.20549308,15.583964,20.6113446,9.391182791,22.8468565,2.911966808
76,10.56678423,43.16230566,10.78365631,45.1255811,11.7624564,47.94712796
77,8.401688632,28.0320393,9.32448067,25.21823631,9.473494263,23.85674863
78,16.35714621,26.76599133,21.83136587,26.02436645,27.55634226,28.60318116
80,17.60568843,21.48497582,19.46969937,19.34840137,37.08655299,25.12525437
81,12.12661314,16.08048049,18.284786,11.6553139,22.80494301,7.588209537
85,20.93058647,22.54054547,23.14866385,23.00767838,32.86480252,19.59721997
88,15.18369285,16.77009132,22.68018532,11.50729277,24.69976997,8.443461459
90,16.7914992,33.90538914,18.86211264,29.68465343,29.21445803,26.37507562
94,8.887047299,34.99524755,8.43041233,32.85821714,12.29081313,31.97210091
95,22.44623884,16.29794189,27.02372524,16.06168645,41.82514365,21.05198793
96,19.83119525,40.81803121,20.76807179,48.4431852,39.93240998,67.89764084
97,12.9012172,17.42590729,18.26080892,14.12387271,22.36342823,12.33937373
98,--,47.46597389,--,42.67436956,--,32.7228828
99,23.96147448,28.90420239,28.61966975,30.28141292,35.01564771,30.26494727
100,20.79992734,19.1273882,25.57789695,19.09837917,32.32350736,19.87802698
101,24.67221495,20.48004648,28.13828935,22.39915423,40.44436597,16.43924417
102,15.78803344,9.123565374,22.74483981,9.312241811,28.68525971,6.014096636
103,10.95239335,18.36490614,16.2977154,9.675915823,12.8285696,2.365405503
104,23.03324741,11.4880689,24.92469692,12.34059662,32.1309345,11.36053925
105,12.15667647,35.34549243,14.26303523,36.60817275,14.29946433,40.58339899
106,24.03494881,44.5560245,25.33451011,44.54844657,37.83880789,45.37094538
107,17.49224237,21.26975376,28.80310059,20.81875128,30.25879995,20.25739545
113,12.38953119,26.36821055,16.67405146,23.73549672,25.31638827,26.38094365
114,13.40639208,20.50864703,19.00421472,15.41164686,20.38738354,13.74462944
115,13.52749515,17.95518126,19.69278707,11.45947811,33.37180685,11.0908348
116,7.177647862,22.73276763,7.449074242,17.47530659,11.1713061,11.59804399
117,8.052976464,27.46084048,10.16046242,29.74035493,9.444433596,30.04354932
118,6.453568391,25.12249464,8.383211561,29.51956275,7.415676819,32.33494399
120,23.07912955,24.72460761,24.16065596,23.91517889,41.68720769,40.75764616
121,14.67884438,16.44863057,18.2219819,20.37535729,28.76329374,12.65596414
122,13.24073921,24.90507372,16.73685173,25.08818908,23.06291929,32.17324935
154,15.15205761,13.16085919,21.16819793,14.89027102,21.55738727,16.4816887
157,16.75430214,16.88718287,19.82218556,14.34421097,33.55580961,12.07230788
158,17.8276411,16.35948094,20.79427651,18.40596771,26.04399295,21.1928578
159,6.929780996,23.23422509,9.823903451,12.57759057,8.670007264,7.119367747
160,9.647372026,13.67003165,14.31966402,15.89870498,20.19452205,19.92055721
161,17.17517525,58.85991308,16.96640557,60.93126611,18.96988526,65.40386379
162,24.63814468,57.03768035,24.56338526,59.29385524,27.42094991,63.99509842
163,35.43207492,14.68375099,35.35243618,14.71034607,37.66287031,13.36797917
164,36.13051155,14.92894982,36.38458207,14.15972506,38.28150511,12.89776181
165,16.74874927,19.88612466,17.65354658,24.32460927,31.45284879,30.10694175
166,19.49647735,46.98034587,19.35455781,49.31205871,21.89365086,52.74271016
167,29.46472425,41.50576551,29.91658543,43.03209624,33.70158323,45.57313082
170,23.83976401,14.96440335,26.08273117,16.87824684,37.64222236,18.95224824
174,19.78570931,14.18724247,22.71030206,10.31106094,39.15128131,6.108701236
175,12.78980494,55.58326027,16.30556,45.03039276,18.60028847,26.88766979
176,34.08871834,3.875375594,34.36005903,2.836783614,37.18580373,2.347613011
177,6.887621703,16.9897755,8.264433264,13.3007893,7.369719631,12.33048853
182,15.49942581,18.82617126,19.25068054,14.0052743,27.40018026,9.851756298
183,13.13464387,19.56328248,15.61204055,17.92777268,14.81004473,4.126567142
185,4.703178815,24.59703596,4.089687435,20.41433465,6.871372933,15.73937553
186,19.62207509,9.489890851,26.27820038,9.319822116,32.48808833,8.987971697
187,42.80695408,31.69296719,42.94712628,32.37138614,46.89806659,35.06961851
189,37.12311915,59.02784328,37.24615554,59.71670421,40.9770315,64.4437677
190,23.05379808,33.65791696,23.12479545,36.89345091,26.02377954,40.3285988
232,48.22881114,1.687421417,48.11226789,2.295543276,57.56245661,2.66414928
233,20.51028327,20.85007514,24.55830764,16.52232738,40.39365668,11.9385115
590,15.55227764,32.75347593,19.8058694,34.33645684,29.4130273,25.65209987
595,22.93178216,2.796527556,26.28582082,3.881835963,32.25643197,8.582955091
596,--,59.85492471,--,53.69333414,--,53.73188139
598,--,42.33042067,--,38.61415456,--,44.27721925
599,--,56.18205803,--,50.14991256,--,56.40613906
601,--,46.51461764,--,46.73916254,--,46.49355178
605,--,41.7392418,--,38.76558504,--,37.91784307
606,37.80786088,14.78393848,37.52862062,15.48128266,40.3607068,16.29434533
607,22.68181994,35.94539447,22.84055491,35.66919759,26.25921361,39.27926495
608,--,0,--,0,--,0
610,23.20417675,47.75338457,27.00787724,49.29647142,32.7967085,55.05463821
611,--,55.77071229,--,56.2727895,--,54.34980557
613,23.58568985,6.961492387,26.25694962,11.2497083,32.23829547,10.69730241
615,49.72505174,14.06098441,43.4634519,21.68777077,45.63653043,15.2185399
619,8.202308745,7.079987948,8.019932524,5.87931117,8.775435365,6.504127363
620,40.61296481,3.773779623,36.65874788,4.117405407,39.53727077,11.72676118
621,--,53.73052628,--,47.5446115,--,54.44976869
624,--,56.51775231,--,53.42127058,--,55.01304521
625,27.6266153,4.845677774,26.30627745,5.967678982,27.70115215,8.362478944
626,24.09002067,10.3573276,26.61917824,19.51829739,37.38374813,15.72672636
627,25.49136757,13.22033879,26.68328474,12.40910816,33.07645114,12.40652078
628,11.47780224,57.70549469,14.71183888,61.98398547,19.70701001,50.03369008
631,36.24529936,5.727895294,33.49604694,6.737652789,35.85085755,9.545758905
634,--,25.70012817,--,24.69808551,--,24.01296223
635,24.75506794,12.30848507,24.88626764,18.52631755,27.83477217,20.58634009
636,--,0,--,0,--,0
637,22.09928946,51.97885104,25.22767877,52.02949543,28.09320424,51.98307144
638,39.06558927,3.817531553,38.86299954,4.135045705,42.64903762,7.62795546
639,33.7183849,4.276739489,30.34875766,7.389588175,35.38223673,5.994916192
640,23.75053029,13.70362296,25.77904137,23.04192105,35.93348562,15.58663351
642,35.54440747,24.9521255,33.80820624,25.96537078,37.00875914,27.66192289
644,29.70183796,16.28619691,33.10516238,22.28111943,38.99031001,15.59369922
645,9.160483408,59.41406685,9.670598459,59.66006181,15.07028752,54.19887664
646,28.73863242,8.454554817,29.43513443,10.68294417,32.64865007,14.20387515
647,18.76218422,49.65924522,23.0903554,54.83473853,25.92934662,66.5294989
