Model Name,Iteration,Input Image Length,Hidden Layer Size,Batch Size,Activation Function,Optimizer,Loss Function,Loss,Recall,Precision,F1,Accuracy,Iteration Training Seconds
Conv2,1,100,4000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,83.04478040337563,0.9314647508848574,0.7215836642537516,0.8132003175603842,0.7117241197183098,67.197536
Conv2,2,100,4000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,77.29725909233093,0.9715105076074341,0.7224629149439084,0.82867925066685,0.7293959507042254,66.57196
Conv2,3,100,4000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,73.40349966287613,0.9449264999321804,0.7388016378881059,0.8292469908325351,0.7378524647887323,66.477206
Conv2,4,100,4000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,69.8182518184185,0.9275683208134807,0.7678482881445258,0.8401849356795639,0.7622875,66.546954
Conv2,5,100,4000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,67.83619910478592,0.8824187085094489,0.7916500196950087,0.834573606449247,0.7643441901408451,65.772522
Conv2,6,100,4000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,64.13569158315659,0.9537550802689684,0.7545534242949921,0.8425400445329814,0.7598515845070423,67.008346
Conv2,7,100,4000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,62.58935588598251,0.8707986753862651,0.7964716234199145,0.831978396248558,0.763062323943662,65.986644
Conv2,8,100,4000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,59.961954206228256,0.9574165589261544,0.7624438763542987,0.8488786386372282,0.7703616197183099,66.06692
Conv2,9,100,4000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,57.73734137415886,0.9290101750427238,0.7856086606083015,0.8513127514193962,0.7813908450704226,66.729683
Conv2,10,100,4000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,54.74750246107578,0.9212188829850486,0.7936070263047397,0.8526647216385069,0.7855359154929578,66.51567
Conv2,1,100,3000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,85.49452918767929,0.8969104004627705,0.7205667438135432,0.7991257360772387,0.6964366197183098,64.647341
Conv2,2,100,3000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,81.45275241136551,0.9015305212496267,0.741887549155038,0.813955110927629,0.7225473591549296,64.787075
Conv2,3,100,3000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,75.07795524597168,0.9144698406820634,0.748768990816573,0.8233654082291215,0.7358542253521126,64.623223
Conv2,4,100,3000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,71.20171675086021,0.9127268676224383,0.752439251018753,0.8248684776494722,0.7390774647887324,65.754921
Conv2,5,100,3000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,67.00258249044418,0.8623807050659453,0.7726807195110036,0.8150702275361543,0.7365477112676057,64.288269
Conv2,6,100,3000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,63.37580448389053,0.8826473106435637,0.7647986397045744,0.8195078720202595,0.7382519366197183,63.659085
Conv2,7,100,3000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,59.33690559864044,0.9208776529671338,0.7512420011541592,0.8274551036202252,0.7414463028169014,64.372034
Conv2,8,100,3000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,56.3905471265316,0.8862242627080127,0.7719039618646384,0.8251231832944533,0.747100352112676,65.092243
Conv2,9,100,3000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,53.08659306168556,0.8544495892441433,0.7862803919860502,0.8189488406367412,0.7456556338028169,64.873055
Conv2,10,100,3000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,50.248561441898346,0.8715639371682402,0.7758818892541812,0.8209443531680835,0.7440443661971831,64.566887
Conv2,1,100,2000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,83.28278031945229,0.9239103661934255,0.7054731882609379,0.8000497978808615,0.6903744718309859,59.667335
Conv2,2,100,2000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,81.27952110767365,0.9778945781819576,0.7013271457242578,0.8168355656335978,0.7059639084507042,59.84359
Conv2,3,100,2000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,75.67997479438782,0.9273445291562483,0.7494319605811308,0.8289496338639654,0.7434103873239437,59.636966
Conv2,4,100,2000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,73.10026425123215,0.9253766734257548,0.7575242974624621,0.8330796957767721,0.7513758802816901,61.201596
Conv2,5,100,2000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,70.393708050251,0.9159165759415325,0.772219527374061,0.837952181697298,0.7624899647887324,60.102153
Conv2,6,100,2000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,67.9255500137806,0.9148473060543468,0.7855668680456765,0.845292569191279,0.7754801056338028,60.091172
Conv2,7,100,2000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,65.93976747989655,0.8631061449932068,0.8164904498106754,0.8391514090228883,0.7781582746478873,60.360174
Conv2,8,100,2000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,64.40505421161652,0.9187131683527624,0.7950835319158414,0.8524391610708821,0.7867496478873239,61.578317
Conv2,9,100,2000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,62.08848223090172,0.9203231127727859,0.8001422767383012,0.8560351580198431,0.7924573943661972,60.802533
Conv2,10,100,2000,16,relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,61.07947647571564,0.8712595904738346,0.8229597805993535,0.8464212057347036,0.7880202464788733,59.963977
Conv2,1,100,4000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,80.2538096010685,0.9157215426178034,0.7532672260797666,0.8265879785488119,0.7407702464788732,65.345722
Conv2,2,100,4000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,74.0869405567646,0.8909875312254303,0.7775157053684716,0.8303931135662089,0.754437147887324,65.126476
Conv2,3,100,4000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,70.57487949728966,0.9249331913440093,0.7698817573474585,0.8403149751903104,0.7628278169014084,64.118102
Conv2,4,100,4000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,66.87611794471741,0.923848178585063,0.7724086638295719,0.8413682637665573,0.7649632042253521,65.288091
Conv2,5,100,4000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,64.27231621742249,0.972109848800158,0.7475908648323659,0.8451940931529612,0.7597420774647887,64.691589
Conv2,6,100,4000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,61.734302669763565,0.851202164389088,0.8160753934350972,0.8332687475301359,0.7701757042253521,65.713977
Conv2,7,100,4000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,59.934518814086914,0.8662678718536783,0.8155114875114384,0.8401237615681661,0.7775542253521127,66.303226
Conv2,8,100,4000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,57.50205659866333,0.916912238437686,0.7967982515715198,0.8526458496822903,0.7861778169014084,65.708843
Conv2,9,100,4000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,54.756975248456,0.9335543196581192,0.7910470268454758,0.8564128405228132,0.7887954225352113,67.425888
Conv2,10,100,4000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,52.698231250047684,0.9123678668174238,0.7948063261017622,0.8495392623508171,0.7819575704225352,65.751219
Conv2,1,100,3000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,80.4843385219574,0.8811353174899087,0.7319528642522686,0.7996457065775641,0.7049822183098592,60.859487
Conv2,2,100,3000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,79.0613104403019,0.9268972571715558,0.7111371899723746,0.8048073860807684,0.6995947183098592,61.022573
Conv2,3,100,3000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,76.67011907696724,0.8799522120251472,0.7763100084941859,0.8248883549097965,0.7503776408450704,60.942671
Conv2,4,100,3000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,72.40974673628807,0.9131192167156729,0.7799910012534772,0.8413212141193583,0.7698616197183099,61.614771
Conv2,5,100,3000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,70.19547587633133,0.9053568327766063,0.7898823194043095,0.8436866905086761,0.775849823943662,61.142279
Conv2,6,100,3000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,68.66527336835861,0.8989635838029963,0.8000933380549569,0.8466517693453925,0.782419190140845,60.502401
Conv2,7,100,3000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,66.94466185569763,0.9112396863637477,0.798638345710819,0.8512314235426732,0.7871857394366197,62.444259
Conv2,8,100,3000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,65.28830897808075,0.959516449777173,0.7647536788509934,0.8511354719912078,0.7757411971830986,61.646739
Conv2,9,100,3000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,64.66045850515366,0.898900344312675,0.811629228239271,0.8530385027252785,0.7930568661971831,60.953521
Conv2,10,100,3000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,63.01265969872475,0.9462356298139415,0.7874426887272901,0.8595669918018073,0.7934176056338028,61.111909
Conv2,1,100,2000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,83.76404669880867,0.8567638343415688,0.7475586226623584,0.7984444637687151,0.7082325704225352,60.729862
Conv2,2,100,2000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,80.2127634882927,0.8405233132208262,0.7570142296853446,0.796586110061526,0.710450176056338,61.541468
Conv2,3,100,2000,16,leaky_relu,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,77.86074638180435,0.951355695392742,0.7470374987139163,0.8369067675724576,0.7498920774647887,59.422759
